E-mail do Colaborador,Nome do Avaliador,Tipo de Avaliação,Nome do Avaliado,Data,1. Expressar opiniões divergentes de forma construtiva,2. Comunicar de forma objetiva e clara,3. Trabalhar de forma colaborativa,4. Resolver problemas e dar devolutivas construtivas,5. Adaptabilidade a mudanças e novos ambientes,6. Abertura a feedback e aprendizado contínuo
teste@senaicni.com.br,Teste Laíse,,,2025-03-16 18:27:20,,,,,,
teste@senaicni.com.br,Teste Laíse,,,2025-03-16 18:28:06,,,,,,
teste@senaicni.com.br,Teste Laíse,,,2025-03-16 18:31:43,,,,,,
laise.pedroso@senaicni.com.br,Laíse Pedroso,,,2025-03-16 19:42:56,,,,,,
Teste Laíse,teste@senaicni.com.br,,,2025-05-12 18:57:13,,,,,,
Teste Laíse,teste@senaicni.com.br,,,2025-05-12 19:22:29,,,,,,
Teste Laíse,teste@senaicni.com.br,,,2025-05-12 19:26:21,,,,,,
Teste Laíse,teste@senaicni.com.br,,,2025-05-12 19:30:00,,,,,,
Teste Laíse,teste@senaicni.com.br,,,2025-05-12 19:39:43,,,,,,
teste@senaicni.com.br,Teste,,,2025-05-12 19:50:05,,,,,,
teste@senaicni.com.br,Teste,,,2025-05-12 20:03:17,,,,,,
teste@senaicni.com.br,Teste,,,2025-05-12 20:04:16,,,,,,
teste@senaicni.com.br,Teste,,,2025-05-12 20:08:37,,,,,,
teste@senaicni.com.br,Teste,,,2025-05-12 20:12:21,,,,,,
teste@senaicni.com.br,Teste Laíse,Autoavaliação,Teste Laíse,2025-05-12 20:26:24,3.0,2.0,2.0,3.0,2.0,2.0
teste@senaicni.com.br,Teste Laíse,Autoavaliação,Teste Laíse,2025-05-12 20:29:35,3.0,2.0,2.0,2.0,2.0,3.0
teste@senaicni.com.br,Teste Laíse,Autoavaliação,Teste Laíse,2025-05-12 20:29:55,4.0,2.0,2.0,2.0,2.0,3.0
teste@senaicni.com.br,Teste Laíse,Autoavaliação,Teste Laíse,2025-05-12 20:36:45,3.0,4.0,2.0,2.0,2.0,2.0
teste@senaicni.com.br,Teste Laíse,Autoavaliação,Teste Laíse,2025-05-12 20:36:54,3.0,4.0,3.0,4.0,2.0,2.0
teste@senaicni.com.br,Teste Laíse,Autoavaliação,Teste Laíse,2025-05-12 22:10:11,2.0,3.0,2.0,2.0,2.0,2.0
teste@senaicni.com.br,Teste Laíse,Avaliação de Pares,Anna Christina Theodora Aun de Azevedo Nascimento,2025-05-12 22:11:21,2.0,2.0,4.0,4.0,3.0,2.0
